"SampleID","darkgrey","tan","lightcyan","red","darkred","green","midnightblue","royalblue","grey","lightgreen","white","yellow","greenyellow","blue","darkorange","grey60","pink","cyan","darkgreen","purple","turquoise","salmon","darkturquoise","magenta","orange","black","brown","lightyellow"
"SRR10687171",0.0112547139094224,-0.0852139326529525,0.138941161142704,0.22300099466562,0.25251841717608,0.183751259373652,0.212874682985988,0.113243158142736,-0.0360539868263016,0.24646740581048,0.244042952418532,0.18089892399131,0.162149413207874,0.129909700562251,0.102511746442918,-0.441865042656595,0.27466463455939,0.156168054063683,-0.234457894495933,0.0406423911201821,-0.205538605221193,-0.00472156545089565,-0.114832599710221,-0.210010401911186,-0.0488765365452228,-0.137042461905376,0.0405074565040886,0.0825601500023296
"SRR10687172",-0.0986308658427842,-0.190516499636814,-0.071129871508972,0.271395342831418,0.200702639319245,0.0817665261812173,-0.0827566359937115,-0.00986445163575156,0.292243668122581,0.212486995264582,0.149497130857655,0.227004837252095,0.0266840879902568,0.207487859084159,0.17155446257873,0.239059748111082,0.339598698092761,0.307641962949694,-0.295103085505086,-0.020699585461122,-0.249376071436006,-0.0222342125361356,-0.0933866829143148,-0.279782868240025,-0.019896997667514,-0.252408475178573,-0.0113785898944626,0.127048061181213
"SRR10687173",-0.43622004894673,-0.565082674079845,-0.446205839361508,0.293637779410868,0.677531064514944,0.236986721189571,-0.167160345521076,0.0894022802346668,0.0685744799245133,-0.00753726691579977,0.245373060672034,0.286846917342224,-0.295692774724539,0.176745778065252,0.245107210013164,0.219690802716961,0.514004087081477,0.532949648873435,-0.287178820152659,-0.0486494999399622,-0.300994686977233,-0.149893913057007,0.0296219438729341,-0.529097038660582,-0.153419021097157,-0.129040027018857,-0.00962418399585492,0.248667819766034
"SRR10687174",0.465316182489545,0.12054311393387,-0.448256178945389,0.047123463359252,-0.236423387740757,-0.147457303193396,-0.0331590587335962,0.0423908874892037,-0.122979192170265,-0.0162873372620273,-0.566838177087095,-0.661031117031858,-0.473120232971181,0.0366986836230985,0.139162536893146,0.283049732923373,0.069011275788388,-0.115725812523041,0.40931198357615,-0.90460621063244,0.141959454891107,-0.393797869715749,-0.456303191451953,-0.333518806417342,-0.332732512168739,0.0331541638643293,0.0803796345205268,0.0303537323723608
"SRR10687175",-0.301855813724563,0.274327632788063,0.261436955005636,-0.363801461006596,-0.143716765299987,-0.42678462942644,-0.252048414378889,-0.0519488314904702,0.387791708741744,-0.306747194144528,-0.202031441042782,-0.374488678529295,-0.246406816353832,-0.768338700719047,-0.293571157425881,-0.23859207949985,-0.421716616491162,0.0644202631473204,0.369561258795955,0.300330566033781,0.583894260766472,0.561425691644003,0.452159655832616,0.501474724421771,0.453530340807648,0.383498750895508,0.31439969684759,0.407261761717235
"SRR10687176",0.102317669498833,0.0218047340020458,0.440353354534345,0.243686624347038,-0.0236758655164519,0.727005441446382,0.652362443944057,0.668186402564513,-0.335806058632687,-0.366234743570171,-0.500497818421659,0.205373174070114,0.326688314233853,0.11566045112561,0.0231441001926357,-0.418714316482124,-0.411279689780585,-0.6164033416906,-0.55336961166279,0.109620754643512,-0.150217952790862,-0.255816837338453,-0.093225133393236,-0.0118048075041087,-0.670661716086799,0.589599025507707,0.0389978307151832,-0.454047958076349
"SRR10687186",0.64092610137313,0.554853147155338,0.390995653039655,0.306244684990007,-0.14160937589962,-0.153455085280093,0.452322988460381,-0.0947184187077446,0.313618009393177,0.748068864363867,0.479931949116798,0.176215337252768,0.543086441228371,0.311974003509977,0.192107000603292,-0.324509257168888,-0.209862585474799,-0.437773100548804,0.0119885444304637,0.115058007831767,-0.288950546761843,0.0710980745500115,-0.448674011684321,0.0600600153047978,0.0676343308287242,-0.430258289535343,0.0154688041719791,-0.373632640467047
"SRR10687208",-0.168181715058229,0.209341294776012,0.161832806967146,-0.254930227911251,-0.130449340222137,-0.365037405540503,-0.170152220199713,-0.0498987929202974,0.184592012358286,-0.0630178383992269,-0.0193050458550201,-0.236200761970627,-0.144576634063878,-0.318987802895553,-0.14564050262811,0.0133598407298242,-0.357362036274807,0.00895955067423198,0.214612245240409,0.186937555144121,0.433616150774146,0.382647029294645,0.486604382817073,0.353804497917073,0.392228351565212,0.221393401419457,0.249141473991796,0.277103433302995
"SRR10687209",-0.206418575668235,0.0920372037675763,-0.0678736106899963,-0.114841334625544,0.103670441911046,-0.117412108647492,-0.240205868617023,0.0118969681213192,-0.703977652599956,-0.19207498199303,0.0766255629532248,-0.134851351173206,-0.24377995532366,-0.167790573041705,-0.783509042620525,0.163919390541317,0.0798989978518831,0.0868628213623787,0.0203599519117573,0.0764781723024182,0.29090460057225,0.274441188669771,0.33048930960969,0.172991328029429,0.143058263887087,0.117487499886771,0.175522298212996,0.192209385452205
"SRR10687197",-0.00850764803038895,-0.432094020053294,-0.360094430183621,-0.651515866060811,-0.558547828242363,-0.0193634161028976,-0.372077571946416,-0.718689201798175,-0.0480029883110915,-0.255123903154147,0.0932018263883109,0.330232718796474,0.344968156776736,0.276640600685958,0.349133645950632,0.5046011807849,0.123043234647452,0.0128999536917015,0.344275427861732,0.144887848957741,-0.255296603816837,-0.463147586060189,-0.0924536729782666,0.275883357060172,0.169135496476764,-0.396383587935623,-0.893414421073843,-0.537523745250976
