"Module","Correlation","Pvalue","Significant"
"MEcyan",0.597957686271451,0.0678658809598396,"No"
"MElightyellow",0.56661155111311,0.0876718915388154,"No"
"MEmagenta",-0.538178162863823,0.10854388885525,"No"
"MEgreenyellow",-0.522652601484349,0.121150127797307,"No"
"MEpink",0.490508527318603,0.150039112599493,"No"
"MEdarkred",0.47472869155301,0.165619521634693,"No"
"MEpurple",-0.400333181903993,0.251640221960823,"No"
"MEgrey",0.372881031427758,0.28858664010026,"No"
"MElightcyan",-0.357472577937659,0.310525837680816,"No"
"MEred",0.298111785184268,0.402809876374752,"No"
"MEtan",-0.282038712327325,0.429818949888834,"No"
"MEbrown",0.262016216475962,0.464594078447948,"No"
"MEdarkorange",0.230697514703787,0.521360591284482,"No"
"MEdarkgrey",-0.227769899304752,0.526807283615076,"No"
"MEyellow",-0.215521313177401,0.54984228738776,"No"
"MEmidnightblue",-0.20380865077112,0.572230528441694,"No"
"MEblue",-0.137556978075547,0.704723477869557,"No"
"MEroyalblue",0.115880426977199,0.749888140459679,"No"
"MEdarkturquoise",-0.115575476924571,0.750528773592877,"No"
"MEwhite",-0.0821916910197792,0.821415356605046,"No"
"MElightgreen",0.0811962873278309,0.823549495759649,"No"
"MEblack",-0.0644080376784791,0.859690442356641,"No"
"MEorange",-0.0641276558021075,0.860296209166127,"No"
"MEgreen",-0.0453707318487498,0.900955575185145,"No"
"MEgrey60",0.0387968219031753,0.915259579586279,"No"
"MEdarkgreen",-0.0239489139480287,0.947641787705384,"No"
"MEturquoise",-0.019008860831818,0.958433138737369,"No"
"MEsalmon",-0.00583242213796892,0.987242010569513,"No"
